,上價,下價,中價,交易日期,交易量,作物代號,作物名稱,市場代號,市場名稱,平均價,Weekday
8,27.8,20.3,24.2,102.01.12,28858.0,LA1,甘藍-初秋,800,高雄市,24.1,5
9,25.0,11.0,16.9,102.01.12,12780.0,LA1,甘藍-初秋,830,鳳山市,17.33,5
10,25.2,17.2,22.0,102.01.12,6252.0,LA1,甘藍-初秋,900,屏東市,21.7,5
11,27.7,18.4,25.3,102.01.12,10146.5,LA1,甘藍-初秋,950,花蓮市,24.4,5
0,24.8,13.3,19.2,102.01.13,76410.0,LA1,甘藍-初秋,104,台北二,19.2,6
1,24.1,13.7,19.0,102.01.13,188291.0,LA1,甘藍-初秋,109,台北一,19.0,6
2,21.8,12.9,18.3,102.01.13,17637.0,LA1,甘藍-初秋,241,三重市,17.9,6
3,21.0,16.3,19.0,102.01.13,6123.0,LA1,甘藍-初秋,338,桃園縣,19.0,6
4,27.8,18.4,22.8,102.01.13,13959.0,LA1,甘藍-初秋,400,台中市,22.9,6
5,26.7,18.5,23.5,102.01.13,14870.0,LA1,甘藍-初秋,514,溪湖鎮,23.5,6
6,25.0,17.0,24.0,102.01.13,1246.0,LA1,甘藍-初秋,540,南投市,23.41,6
7,27.4,19.2,23.1,102.01.13,27661.0,LA1,甘藍-初秋,800,高雄市,23.2,6
8,26.1,17.1,21.0,102.01.13,11140.0,LA1,甘藍-初秋,830,鳳山市,21.25,6
9,25.6,16.8,22.8,102.01.13,4846.0,LA1,甘藍-初秋,900,屏東市,22.2,6
0,28.0,20.0,25.0,102.01.14,7845.0,LA1,甘藍-初秋,514,溪湖鎮,25.0,0
0,28.0,17.1,23.3,102.01.15,63581.0,LA1,甘藍-初秋,104,台北二,23.0,1
1,27.2,19.1,23.1,102.01.15,162280.0,LA1,甘藍-初秋,109,台北一,23.1,1
2,25.3,13.8,21.3,102.01.15,7986.0,LA1,甘藍-初秋,241,三重市,20.6,1
3,30.0,23.3,27.2,102.01.15,560.0,LA1,甘藍-初秋,338,桃園縣,27.2,1
4,30.2,18.7,24.6,102.01.15,11741.0,LA1,甘藍-初秋,400,台中市,24.8,1
5,22.0,13.0,15.5,102.01.15,17000.0,LA1,甘藍-初秋,512,永靖鄉,15.4,1
6,28.3,20.0,24.5,102.01.15,13680.0,LA1,甘藍-初秋,514,溪湖鎮,24.5,1
7,34.0,15.0,23.0,102.01.15,2076.0,LA1,甘藍-初秋,540,南投市,22.32,1
8,28.3,19.7,24.1,102.01.15,24554.0,LA1,甘藍-初秋,800,高雄市,24.1,1
9,25.5,16.1,20.6,102.01.15,11180.0,LA1,甘藍-初秋,830,鳳山市,20.68,1
10,26.1,14.5,20.6,102.01.15,7618.0,LA1,甘藍-初秋,900,屏東市,20.5,1
0,30.4,19.9,26.2,102.01.16,49008.0,LA1,甘藍-初秋,104,台北二,25.8,2
1,26.4,18.5,22.0,102.01.16,151698.0,LA1,甘藍-初秋,109,台北一,22.2,2
2,27.9,14.8,24.3,102.01.16,8053.0,LA1,甘藍-初秋,241,三重市,23.1,2
3,29.2,17.8,24.6,102.01.16,10420.0,LA1,甘藍-初秋,400,台中市,23.7,2
4,28.3,18.3,24.5,102.01.16,15220.0,LA1,甘藍-初秋,514,溪湖鎮,24.5,2
5,35.0,15.0,24.0,102.01.16,1684.0,LA1,甘藍-初秋,540,南投市,23.4,2
6,29.4,19.9,24.2,102.01.16,24173.0,LA1,甘藍-初秋,800,高雄市,24.4,2
7,24.5,15.5,20.0,102.01.16,34564.0,LA1,甘藍-初秋,830,鳳山市,20.0,2
8,25.0,17.3,22.8,102.01.16,5141.0,LA1,甘藍-初秋,900,屏東市,22.2,2
0,27.4,15.5,23.9,102.01.17,65118.0,LA1,甘藍-初秋,104,台北二,22.9,3
1,26.6,17.5,22.9,102.01.17,151490.0,LA1,甘藍-初秋,109,台北一,22.6,3
2,26.8,7.6,17.7,102.01.17,15294.0,LA1,甘藍-初秋,241,三重市,17.5,3
3,25.0,23.0,24.5,102.01.17,520.0,LA1,甘藍-初秋,338,桃園縣,24.5,3
4,28.2,13.9,22.9,102.01.17,14959.0,LA1,甘藍-初秋,400,台中市,21.4,3
5,25.0,13.0,16.5,102.01.17,17700.0,LA1,甘藍-初秋,512,永靖鄉,16.5,3
6,26.7,17.0,23.0,102.01.17,15870.0,LA1,甘藍-初秋,514,溪湖鎮,22.0,3
7,35.0,11.0,23.0,102.01.17,2013.0,LA1,甘藍-初秋,540,南投市,22.76,3
8,30.0,20.0,24.4,102.01.17,19908.0,LA1,甘藍-初秋,800,高雄市,24.6,3
9,24.9,14.8,19.4,102.01.17,11668.0,LA1,甘藍-初秋,830,鳳山市,19.57,3
10,25.2,14.6,20.6,102.01.17,6858.0,LA1,甘藍-初秋,900,屏東市,20.3,3
0,25.9,14.7,21.5,102.01.18,74825.0,LA1,甘藍-初秋,104,台北二,21.0,4
1,26.3,16.0,21.9,102.01.18,187572.0,LA1,甘藍-初秋,109,台北一,21.6,4
2,25.0,12.8,20.6,102.01.18,10484.0,LA1,甘藍-初秋,241,三重市,19.9,4
3,23.3,15.8,20.8,102.01.18,3945.0,LA1,甘藍-初秋,338,桃園縣,20.8,4
4,26.6,15.1,23.2,102.01.18,15203.0,LA1,甘藍-初秋,400,台中市,21.8,4
